Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,1,Survey of Art & Arch Hist II,0.52,0.42,0.05,0.0,0.0,0.0,0.0,0.01,beth ann lauritis,False,AAH-1020,2021
AAH,2060,1,Art History and Theory II,0.72,0.22,0.06,0.0,0.0,0.0,0.0,0.0,andrea feeser,False,AAH-2060,2021
ACCT,2010,1,Financial Accounting Conc,0.35,0.39,0.15,0.05,0.03,0.0,0.0,0.03,lydia schleifer,False,ACCT-2010,2021
ACCT,2010,2,Financial Accounting Conc,0.13,0.38,0.31,0.08,0.03,0.0,0.0,0.08,charles tegen,False,ACCT-2010,2021
ACCT,2010,3,Financial Accounting Conc,0.25,0.29,0.23,0.17,0.04,0.0,0.0,0.02,annieka philo,False,ACCT-2010,2021
ACCT,2010,4,Financial Accounting Conc,0.46,0.24,0.18,0.0,0.08,0.0,0.0,0.04,annieka philo,False,ACCT-2010,2021
ACCT,2010,5,Financial Accounting Conc,0.3,0.22,0.18,0.18,0.04,0.0,0.0,0.08,julie grant,False,ACCT-2010,2021
ACCT,2010,6,Financial Accounting Conc,0.3,0.16,0.34,0.08,0.08,0.0,0.0,0.04,annieka philo,False,ACCT-2010,2021
ACCT,2010,7,Financial Accounting Conc,0.52,0.1,0.22,0.08,0.02,0.0,0.0,0.06,annieka philo,False,ACCT-2010,2021
ACCT,2010,8,Financial Accounting Conc,0.44,0.28,0.16,0.1,0.0,0.0,0.0,0.02,julie grant,False,ACCT-2010,2021
ACCT,2010,9,Financial Accounting Conc,0.34,0.2,0.24,0.08,0.06,0.0,0.0,0.08,julie grant,False,ACCT-2010,2021
ACCT,2010,10,Financial Accounting Conc,0.23,0.33,0.23,0.1,0.02,0.0,0.0,0.08,lisa wheatley birtwistle,False,ACCT-2010,2021
ACCT,2010,11,Financial Accounting Conc,0.19,0.28,0.33,0.11,0.06,0.0,0.0,0.03,lisa wheatley birtwistle,False,ACCT-2010,2021
ACCT,2010,12,Financial Accounting Conc,0.14,0.3,0.28,0.08,0.08,0.0,0.0,0.12,jeffrey mcmillan,False,ACCT-2010,2021
ACCT,2010,14,Financial Accounting Conc,0.38,0.3,0.18,0.06,0.06,0.0,0.0,0.02,julie grant,False,ACCT-2010,2021
ACCT,2010,111,Fin Acct Concepts (HON),0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,lisa wheatley birtwistle,True,ACCT-2010,2021
ACCT,2010,400,Financial Accounting Conc,0.13,0.31,0.22,0.12,0.04,0.0,0.0,0.16,jeffrey mcmillan,False,ACCT-2010,2021
ACCT,2010,401,Financial Accounting Conc,0.17,0.39,0.28,0.07,0.06,0.0,0.0,0.04,emily suzanne mccorkle,False,ACCT-2010,2021
ACCT,2010,402,Financial Accounting Conc,0.36,0.38,0.21,0.02,0.02,0.0,0.0,0.02,lydia schleifer,False,ACCT-2010,2021
ACCT,2010,403,Financial Accounting Conc,0.37,0.37,0.12,0.05,0.05,0.0,0.0,0.05,lydia schleifer,False,ACCT-2010,2021
